,index,name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
0,0,9.81파크,0.452,0.572735,0.452,0.452,0.452,0.452,0.452,0.452,4.5
1,1,성이시돌목장,0.5324306666666667,0.4316666666666667,0.6865986666666667,0.7372146666666667,0.4641586666666666,0.4316666666666667,0.4316666666666667,0.6417186666666667,4.2
2,2,제주도립미술관,0.445,0.445,0.445,0.9345424,0.445,0.6058768000000001,0.445,0.7917136,4.4
3,3,가파도,0.6064106666666668,0.5314313333333334,0.4916666666666667,0.4916666666666667,0.5678453333333333,0.6488539999999999,0.4916666666666667,0.650002,4.8
4,4,감귤박물관,0.415,0.6785091999999998,0.5094892,0.415,0.415,0.415,0.5169412,0.415,4.1
5,5,거문오름,0.5888626666666666,0.475,0.5044701333333332,0.6227354666666666,0.5952864,0.5590632,0.475,0.6838736,4.6
6,6,건강과성박물관,0.3921428571428572,0.5251635918367348,0.4548104816326531,0.4420926367346939,0.4834106448979591,0.4208735020408163,0.4020900244897959,0.4223334857142857,3.6
7,7,검멀레,0.5015,0.5015,0.5015,1.6404333333333334,1.1046333333333331,0.5015,0.5015,1.6944333333333337,5.0
8,8,견월악목마장,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
9,9,곽지해수욕장,0.46,0.46,0.46,0.46,0.5406256,0.5409424,0.46,0.46,4.5
10,10,관음사,0.4710945000000001,0.435,0.435,0.474033,0.435,0.5131245000000001,0.435,0.4756169999999999,4.2
11,11,광치기해변,0.5730029280000001,0.4650000000000001,0.4650000000000001,0.5471559360000001,0.4650000000000001,0.4919468640000001,0.4650000000000001,0.6985523520000001,4.4
12,12,구엄리돌염전,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,4.5
13,13,궷물오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
14,14,그리스신화박물관,0.375,0.6068111999999999,0.375,0.4963344,0.375,0.375,0.375,0.375,3.7
15,15,금능해수욕장,0.520584496,0.475,0.475,0.498370912,0.497281984,0.497369536,0.475,0.499478992,4.5
16,16,금오름,0.6738644444444444,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,4.4
17,17,김경숙해바라기농장,0.4348333333333333,0.4348333333333333,1.1573933333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,4.3
18,18,김녕성세기해변,0.4850000000000001,0.4850000000000001,0.5953561250000001,0.5552858749999999,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.5964698750000001,4.6
19,19,김녕사굴,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,3.0
20,20,김영갑갤러리두모악,0.5604973333333333,0.5048823333333332,0.505223,0.485,0.5440986666666666,0.543884,0.485,0.5272450000000001,4.6
21,21,너븐숭이4.3기념관,0.25863,0.501,0.501,0.501,0.25566,0.501,0.501,0.22269,5.0
22,22,넥슨컴퓨터박물관,0.4516666666666666,1.1849686666666666,0.5591746666666665,0.6547546666666665,0.5601406666666666,0.4516666666666666,0.4516666666666666,0.4516666666666666,4.4
23,23,노루생태관찰원,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,1.26042,0.4425,4.4
24,24,녹산로유채꽃길,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,3.5
25,25,누웨마루거리,0.325,0.325,0.3145456000000001,0.325,0.325,0.325,0.325,0.325,3.2
26,26,다랑쉬오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
27,27,다희연,0.35,0.35,0.6142892,0.35,0.3847928,0.4555418,0.4689314,0.35,3.4
28,28,대포해안주상절리대,0.8155434620689657,0.5886636827586207,0.6134236965517241,0.976008579310345,0.6518561793103448,0.6298850068965517,0.5892963724137931,1.005817365517241,4.4
29,29,더마파크,0.46,0.84787,0.5110060000000001,0.46,0.57418,0.508882,0.672118,0.5090439999999999,4.5
30,30,돌하르방공원,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.6307325925925924,0.6238955555555554,4.4
31,31,동문재래시장,0.5640909090909091,0.590945361983471,1.1368185520661156,0.5862950479338842,0.596833414876033,0.585294267768595,0.5885191272727271,0.5830920330578512,4.0
32,32,동백동산습지센터,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,4.7
33,33,드라마월드,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,3.3
34,34,따라비오름,0.9374255,0.485,0.561509,0.5232994999999999,0.5660765000000001,0.5610995000000001,0.485,0.7113455000000001,4.8
35,35,라마다프라자제주호텔카지노,0.6159325,0.6101275,0.427,0.427,0.6308725000000001,0.427,0.427,0.61438,4.2
36,36,렛츠런팜제주,1.0279666666666667,1.0047666666666668,0.4681666666666667,0.4681666666666667,0.4681666666666667,0.4681666666666667,1.0974333333333337,0.4681666666666667,4.7
37,37,마라도,0.496369664,0.443,0.543576896,0.456940544,0.443,0.443,0.443,0.484829792,4.2
38,38,만장굴,0.6061243671375164,0.6322184511386024,0.600202750050473,0.7767610747627766,0.6817677728503699,0.6461131823086723,0.605907691118831,0.7607843288476132,4.1
39,39,맥파이브루어리,0.5025,0.5025,0.7534056,0.5025,0.5025,0.5025,0.7351175999999999,0.5025,5.0
40,40,메이즈랜드,0.437,0.786164528,0.437,0.4540645280000001,0.524272928,0.437,0.437,0.453165152,4.1
41,41,민오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
42,42,믿거나말거나박물관,0.4446796,0.5646055,0.43375,0.4679225499999999,0.4683154,0.43375,0.4956988,0.44487535,3.9
43,43,박물관은살아있다,0.4780769230769231,0.8419865656804735,0.5347292639053254,0.5426516710059172,0.5594668165680472,0.5411838437869823,0.4867369964497041,0.5228268899408284,4.1
44,44,방주교회,0.4850586333333333,0.4515492999999999,0.4530255000000001,0.9351939,0.4720819,0.4688305999999999,0.4519641,0.5036839666666666,4.0
45,45,보롬왓,0.4825,0.4825,0.8265256,0.4825,1.1488935999999996,0.4825,0.4825,0.4825,4.8
46,46,본태박물관,0.43,0.4763922999999999,0.43,0.5763019,0.5300179,0.43,0.43,0.4768198,4.2
47,47,불사리탑사,0.5967250000000001,0.4165,0.4165,0.5116975,0.4165,0.4165,0.4165,0.62458,4.1
48,48,비자림,0.5772386858223063,0.5675185474480152,0.5628260869565218,0.6268875879017013,0.6467097209829868,0.6717303470699434,0.5725538041587902,0.6534309754253308,4.5
49,49,빛의벙커,0.45,0.5011260000000001,0.45,0.45,0.5510010000000001,0.547563,0.45,0.45,4.4
50,50,사라봉공원,0.624202,0.415,0.415,0.415,0.415,0.415,0.415,0.5853058,4.0
51,51,사려니숲길,0.475,0.475,0.475,0.475,0.5629660000000001,0.475,0.475,0.5725672,4.7
52,52,산굼부리분화구,1.3688939306666668,0.5036666666666667,0.5375961386666667,0.5891066666666667,0.5767764266666666,0.6447060266666667,0.5162772266666666,0.6966566186666666,4.3
53,53,산방굴사,0.6920777499999999,0.43,0.4504862499999999,0.50717725,0.43,0.522601,0.43,0.5960905,4.1
54,54,산방산,0.5844480000000001,0.5076049999999999,0.5105973,0.6453612,0.5115863,0.5087021,0.5074095,0.6707095,4.4
55,55,산호해수욕장,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,5.0
56,56,삼무공원,0.377,0.377,0.377,0.377,0.62132,0.6222799999999999,0.377,0.377,3.8
57,57,삼성혈,0.4083333333333333,0.4383829333333333,0.4412202666666666,0.4398687999999999,0.5070165333333333,0.4083333333333333,0.4399247999999999,0.4730842666666666,3.9
58,58,삼양검은모래해변,0.420652,0.4386352,0.4,0.4194136,0.421564,0.43972,0.4,0.4410688,3.9
59,59,새별오름,1.0016945,0.455,0.4845647,0.4836242,0.5155318999999998,0.455,0.455,0.5395988,4.4
60,60,새연교,0.532014875,0.4414271749999999,0.42875,0.4964954749999998,0.5233571,0.4942495249999999,0.441890225,0.5771480750000001,3.9
61,61,생각하는정원,0.5190677751479289,0.5109381940828401,0.5019230769230769,0.5659789704142011,0.6095130674556213,0.6621098911242602,0.5906406745562129,0.6018817988165679,4.4
62,62,서우봉,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
63,63,선녀와나무꾼박물관,0.42,0.56326065,0.42,0.444707475,0.42,0.443829975,0.42,0.44430675,4.0
64,64,선운정사,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,3.6
65,65,성산일출봉,1.0383553115982,0.8784148143417041,0.9097441077660038,0.9237443591813036,0.9458069836551024,0.9580406117578748,0.8849175134852665,1.0032993156626506,4.6
66,66,성읍민속마을,0.4226967253333333,0.4869252853333333,0.4694812213333333,0.4450601653333333,0.4629746773333333,0.4488010453333333,0.5287001173333333,0.4455992533333333,3.4
67,67,세계조가비박물관,0.5249701,0.46,0.46,0.5305429,0.5930181999999999,0.5262256000000001,0.5364559,0.8290279,4.5
68,68,세계자동차제주박물관,0.435,0.5411356499999999,0.435,0.435,0.435,0.435,0.4712920500000001,0.435,4.2
69,69,세화해수욕장,0.535522752,0.5630898239999999,0.5390179199999999,0.5380624319999999,0.509184672,0.477,0.477,0.56823312,4.5
70,70,소인국테마파크,0.3683333333333333,0.5912615999999999,0.3683333333333333,0.3951482666666666,0.3683333333333333,0.3950102666666666,0.3683333333333333,0.42108,3.5
71,71,송악산,0.6968619000000001,0.49875,0.5147031750000001,0.5468098125,0.5764578750000001,0.6054811875000001,0.49875,0.640763025,4.6
72,72,쇠소깍,0.5746668511999999,0.5964647744,0.6408019424,0.6068229728000001,0.6025063424,0.6006889088,0.5492588768,0.6605378816,4.2
73,73,수월봉,0.7409718750000001,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.742153125,4.6
74,74,신비의도로,0.4712295296,0.50062807808,0.46920176384,0.49017123584,0.51203724032,0.48092820224,0.475288256,0.5434021145600001,3.4
75,75,신창풍차해안도로,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,4.5
76,76,신화워터파크,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025,0.6743431999999999,0.4025,4.0
77,77,신화테마파크,0.44,0.8510624,0.5372828000000001,0.5318360000000001,0.7657892,0.44,0.537038,0.5330708000000001,4.2
78,78,쌍용굴,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,4.0
79,79,아라리오뮤지엄동문모텔,0.477,0.2958975,0.477,0.477,0.292995,0.477,0.477,0.477,4.8
80,80,아라리오뮤지엄탑동바이크샵,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
81,81,아라리오뮤지엄탑동시네마,0.455,0.8078143999999999,0.455,0.5460008,0.455,0.455,0.455,0.455,4.5
